"Package","Version","Source","Repository"
"askpass","1.2.1","Repository","CRAN"
"backports","1.5.0","Repository","CRAN"
"base64enc","0.1-3","Repository","CRAN"
"bit","4.5.0","Repository","CRAN"
"bit64","4.5.2","Repository","CRAN"
"blob","1.2.4","Repository","CRAN"
"brio","1.1.5","Repository","CRAN"
"broom","1.0.7","Repository","CRAN"
"bslib","0.8.0","Repository","CRAN"
"cachem","1.1.0","Repository","CRAN"
"callr","3.7.6","Repository","CRAN"
"cellranger","1.1.0","Repository","CRAN"
"chron","2.3-61","Repository","CRAN"
"class","7.3-22","Repository","CRAN"
"classInt","0.4-10","Repository","CRAN"
"cli","3.6.5","Repository","CRAN"
"clipr","0.8.0","Repository","CRAN"
"colorspace","2.1-1","Repository","CRAN"
"commonmark","1.9.2","Repository","CRAN"
"conflicted","1.2.0","Repository","CRAN"
"cpp11","0.5.2","Repository","CRAN"
"crayon","1.5.3","Repository","CRAN"
"crosstalk","1.2.1","Repository","CRAN"
"cubature","2.1.1","Repository","CRAN"
"curl","5.2.3","Repository","CRAN"
"data.table","1.16.2","Repository","CRAN"
"DBI","1.2.3","Repository","CRAN"
"dbplyr","2.5.0","Repository","CRAN"
"desc","1.4.3","Repository","CRAN"
"diffobj","0.3.5","Repository","CRAN"
"digest","0.6.37","Repository","CRAN"
"DistributionUtils","0.6-1","Repository","CRAN"
"dplyr","1.1.4","Repository","CRAN"
"dtplyr","1.3.1","Repository","CRAN"
"e1071","1.7-16","Repository","CRAN"
"evaluate","1.0.5","Repository","CRAN"
"expm","1.0-0","Repository","CRAN"
"fansi","1.0.6","Repository","CRAN"
"farver","2.1.2","Repository","CRAN"
"fastmap","1.2.0","Repository","CRAN"
"FNN","1.1.4.1","Repository","CRAN"
"fontawesome","0.5.2","Repository","CRAN"
"forcats","1.0.0","Repository","CRAN"
"formula.tools","1.7.1","Repository","CRAN"
"fracdiff","1.5-3","Repository","CRAN"
"fs","1.6.7","Repository","CRAN"
"gargle","1.5.2","Repository","CRAN"
"GeneralizedHyperbolic","0.8-6","Repository","CRAN"
"generics","0.1.3","Repository","CRAN"
"gganimate","1.0.9","Repository","CRAN"
"ggplot2","3.5.2","Repository","CRAN"
"glue","1.8.0","Repository","CRAN"
"googledrive","2.1.1","Repository","CRAN"
"googlesheets4","1.1.1","Repository","CRAN"
"gridExtra","2.3","Repository","CRAN"
"gridtext","0.1.5","Repository","CRAN"
"gtable","0.3.6","Repository","CRAN"
"haven","2.5.4","Repository","CRAN"
"highr","0.11","Repository","CRAN"
"hms","1.1.3","Repository","CRAN"
"htmltools","0.5.8.1","Repository","CRAN"
"htmlwidgets","1.6.4","Repository","CRAN"
"httr","1.4.7","Repository","CRAN"
"hunspell","3.0.5","Repository","CRAN"
"ids","1.0.1","Repository","CRAN"
"isoband","0.2.7","Repository","CRAN"
"jpeg","0.1-10","Repository","CRAN"
"jquerylib","0.1.4","Repository","CRAN"
"jsonlite","2.0.0","Repository","CRAN"
"kableExtra","1.4.0","Repository","CRAN"
"kernlab","0.9-33","Repository","CRAN"
"KernSmooth","2.23-24","Repository","CRAN"
"knitr","1.48","Repository","CRAN"
"ks","1.14.3","Repository","CRAN"
"labeling","0.4.3","Repository","CRAN"
"later","1.3.2","Repository","CRAN"
"latex2exp","0.9.6","Repository","CRAN"
"lattice","0.22-6","Repository","CRAN"
"lazyeval","0.2.2","Repository","CRAN"
"lifecycle","1.0.5","Repository","CRAN"
"lpSolve","5.6.21","Repository","CRAN"
"lubridate","1.9.3","Repository","CRAN"
"magrittr","2.0.3","Repository","CRAN"
"markdown","1.13","Repository","CRAN"
"MASS","7.3-61","Repository","CRAN"
"Matrix","1.7-0","Repository","CRAN"
"MatrixModels","0.5-3","Repository","CRAN"
"mclust","6.1.1","Repository","CRAN"
"memoise","2.0.1","Repository","CRAN"
"mgcv","1.9-1","Repository","CRAN"
"mime","0.12","Repository","CRAN"
"mixtools","2.0.0.1","Repository","CRAN"
"modelr","0.1.11","Repository","CRAN"
"multicool","1.0.1","Repository","CRAN"
"munsell","0.5.1","Repository","CRAN"
"mvtnorm","1.3-1","Repository","CRAN"
"nlme","3.1-166","Repository","CRAN"
"nloptr","2.1.1","Repository","CRAN"
"numDeriv","2016.8-1.1","Repository","CRAN"
"openssl","2.2.2","Repository","CRAN"
"operator.tools","1.6.3","Repository","CRAN"
"pillar","1.9.0","Repository","CRAN"
"pkgbuild","1.4.8","Repository","CRAN"
"pkgconfig","2.0.3","Repository","CRAN"
"pkgload","1.5.0","Repository","CRAN"
"plotly","4.10.4","Repository","CRAN"
"png","0.1-8","Repository","CRAN"
"pracma","2.4.4","Repository","CRAN"
"praise","1.0.0","Repository","CRAN"
"prettyunits","1.2.0","Repository","CRAN"
"processx","3.8.6","Repository","CRAN"
"progress","1.2.3","Repository","CRAN"
"promises","1.3.0","Repository","CRAN"
"proxy","0.4-27","Repository","CRAN"
"ps","1.9.1","Repository","CRAN"
"purrr","1.0.2","Repository","CRAN"
"quadprog","1.5-8","Repository","CRAN"
"quantreg","5.98","Repository","CRAN"
"R6","2.6.1","Repository","CRAN"
"ragg","1.5.1","Repository","CRAN"
"rappdirs","0.3.3","Repository","CRAN"
"RColorBrewer","1.1-3","Repository","CRAN"
"Rcpp","1.1.0","Repository","CRAN"
"RcppArmadillo","15.0.2-2","Repository","CRAN"
"readr","2.1.5","Repository","CRAN"
"readxl","1.4.3","Repository","CRAN"
"rematch","2.0.0","Repository","CRAN"
"rematch2","2.1.2","Repository","CRAN"
"reprex","2.1.1","Repository","CRAN"
"rlang","1.1.7","Repository","CRAN"
"rmarkdown","2.28","Repository","CRAN"
"rprojroot","2.1.1","Repository","CRAN"
"Rsolnp","1.16","Repository","CRAN"
"rstudioapi","0.16.0","Repository","CRAN"
"rugarch","1.5-3","Repository","CRAN"
"rvest","1.0.4","Repository","CRAN"
"s2","1.1.7","Repository","CRAN"
"sass","0.4.9","Repository","CRAN"
"scales","1.3.0","Repository","CRAN"
"segmented","2.1-4","Repository","CRAN"
"selectr","0.4-2","Repository","CRAN"
"sf","1.0-21","Repository","CRAN"
"SkewHyperbolic","0.4-2","Repository","CRAN"
"solarr","1.0.1","GitHub","https://github.com/beniamino98/solarr"
"SparseM","1.84-2","Repository","CRAN"
"spd","2.0-1","Repository","CRAN"
"spelling","2.3.1","Repository","CRAN"
"stringi","1.8.4","Repository","CRAN"
"stringr","1.5.1","Repository","CRAN"
"survival","3.7-0","Repository","CRAN"
"svglite","2.1.3","Repository","CRAN"
"sys","3.4.3","Repository","CRAN"
"systemfonts","1.1.0","Repository","CRAN"
"testthat","3.2.1.1","Repository","CRAN"
"textshaping","0.4.0","Repository","CRAN"
"tibble","3.2.1","Repository","CRAN"
"tidyr","1.3.1","Repository","CRAN"
"tidyselect","1.2.1","Repository","CRAN"
"tidyverse","2.0.0","Repository","CRAN"
"timechange","0.3.0","Repository","CRAN"
"tinytex","0.53","Repository","CRAN"
"transformr","0.1.5","Repository","CRAN"
"truncnorm","1.0-9","Repository","CRAN"
"tweenr","2.0.3","Repository","CRAN"
"tzdb","0.5.0","Repository","CRAN"
"units","0.8-5","Repository","CRAN"
"utf8","1.2.4","Repository","CRAN"
"uuid","1.2-1","Repository","CRAN"
"vctrs","0.6.5","Repository","CRAN"
"viridisLite","0.4.2","Repository","CRAN"
"vroom","1.6.5","Repository","CRAN"
"waldo","0.6.2","Repository","CRAN"
"withr","3.0.2","Repository","CRAN"
"wk","0.9.4","Repository","CRAN"
"xfun","0.48","Repository","CRAN"
"xml2","1.3.6","Repository","CRAN"
"xts","0.14.1","Repository","CRAN"
"yaml","2.3.10","Repository","CRAN"
"zoo","1.8-12","Repository","CRAN"
